,party,sentence,sentence_coal,score
0,fdp,jahrhundert.,jahrhundert.,0.99999994
1,fdp,"im mittelpunkt stehen dabei der abbau von bürokratiepflichten, die prüfung von investitionsbezuschussungen für produktionsstätten, sowie die prüfung von zuschüssen zur gewährung der versorgungssicherheit.","dazu gehören der abbau von bürokratie, die prüfung von investitionsbezuschussungen für produktionsstätten, sowie die prüfung von zuschüssen zur gewährung der versorgungssicherheit.",0.98072517
2,fdp,"wir setzen uns für einen leistungsstarken europäischen bankenmarkt ein, der durch wettbewerb und vielfalt der geschäftsmodelle geprägt ist.","wir setzen uns für einen leistungsstarken europäischen bankensowie kapitalmarkt ein, der durch wettbewerb und vielfalt der geschäftsmodelle geprägt ist.",0.97588414
3,fdp,gemeinsam mit unseren europäischen partnern wollen wir uns für die bewahrung unserer freiheitlichen lebensweise in europa und den schutz von frieden und menschenrechten international einsetzen.,"gemeinsam mit unseren partnern, auch aus der zivilgesellschaft, werden wir uns für die bewahrung unserer freiheitlichen lebensweise in europa und den schutz von frieden und menschenrechten weltweit einsetzen.",0.96813637
4,fdp,"solange nicht sichergestellt ist, dass der kernbereich der privaten lebensgestaltung der menschen geschützt ist, hat ihr einsatz zu unterbleiben.","solange der schutz des kernbereichs privater lebensgestaltung nicht sichergestellt ist, muss ihr einsatz unterbleiben.",0.9635642
5,fdp,der erhalt der artenvielfalt ist eine menschheitsaufgabe und eine ethische verpflichtung.,naturschutz und biodiversität der erhalt der artenvielfalt ist eine menschheitsaufgabe und eine ethische verpflichtung.,0.9484606
6,fdp,"dazu sind maßnahmen zu ergreifen, die das ziel haben, die herstellung von arzneimitteln nach deutschland oder die eu zurück zu verlagern.","wir ergreifen maßnahmen, um die herstellung von arzneimitteln inklusive der wirk- und hilfsstoffproduktion nach deutschland oder in die eu zurück zu verlagern.",0.9429595
7,fdp,damit sichern wir die zukunft.,diese wollen wir auch künftig sicherstellen.,0.9265854
8,fdp,der öffentliche dienst muss berufliche qualifikationen für höhere karrierewege gleichberechtigt anerkennen.,gleichwertige berufliche qualifikationen erkennen wir für höhere karrierewege im öffentlichen dienst an.,0.9220436
9,fdp,gefährder-definitionen und datenbanken müssen auf europäischer ebene vereinheitlicht werden und kompatibel sein.,"datenbanken in der eu wollen wir kompatibel ausgestalten, die gefährder-definitionen vereinheitlichen, deren früherkennung forcieren und für eine koordinierte überwachung sorgen.",0.9186602
10,fdp,der zugang zur gesamten geförderten privaten altersvorsorge muss dabei künftig für alle erwerbstätigen offen sein.,die geförderte zusätzliche private altersvorsorge steht allen erwerbstätigen offen.,0.91772014
11,fdp,"dazu wollen wir die grundschleppnetz-fischerei beschränken und fangtechniken artenspezifisch anpassen, beispielsweise durch die vergrößerung der maschenweite von fangnetzen.",wir wollen die grundschleppnetz-fischerei beschränken und fangtechniken artenspezifisch anpassen sowie eine naturschutzgerechte regulierung von stellnetzen.,0.916871
12,fdp,das recht auf anonymität im öffentlichen raum gilt auch für den digitalen öffentlichen raum.,das recht auf anonymität sowohl im öffentlichen raum als auch im internet ist zu gewährleisten.,0.91486096
13,fdp,wir möchten bessere rahmenbedingungen an hochschulen für wissenschaftskarrieren schaffen.,"durch bessere rahmenbedingungen für hochschule, wissenschaft und forschung wollen wir den wissenschaftsstandort kreativer und wettbewerbsfähiger machen.",0.91274303
14,fdp,diese müssen sowohl ungerechtfertigte nichtbesteuerung als auch schädliche doppelbesteuerung von erträgen verhindern.,sowohl eine nicht- als auch eine doppelbesteuerung ist zu vermeiden.,0.908552
15,fdp,wir bauen bürokratie ab und erleichtern das gründen.,überflüssige bürokratie werden wir abbauen.,0.9082911
16,fdp,auch wollen wir reisen für die zivilgesellschaft durch visumserleichterungen vereinfachen.,wir wollen durch zielgerichtete visaerleichterungen den zivilgesellschaftlichen austausch vereinfachen.,0.9081679
17,fdp,hierfür wollen wir die internetfreiheit und digitalen menschenrechte zu neuen außenpolitischen schwerpunkten machen.,wir wollen den schutz der menschenrechte im digitalen zeitalter stärken und hierfür die internetfreiheit und digitale menschenrechte zu außenpolitischen schwerpunkten machen.,0.90677035
18,fdp,"liberale demokratien gegen desinformation und einflussnahme schützen wir freie demokraten wollen die liberalen demokratien europas dazu befähigen, desinformation, fake-news-kampagnen, propaganda sowie manipulationen aus dem in- und ausland besser abwehren zu können.","wir befähigen die liberalen demokratien europas dazu, desinformation, fake-news, kampagnen, propaganda sowie manipulationen aus dem in- und ausland besser abwehren zu können.",0.9058487
19,fdp,das gilt auch für alleinerziehende.,diese möglichkeit soll es auch für alleinerziehende geben.,0.90464085
20,fdp,klima- und umweltschutz durch innovation der klimawandel ist eine der größten herausforderungen unserer zeit.,"klima, energie, transformation der menschengemachte klimawandel ist eine der größten herausforderungen unserer zeit.",0.90423405
